wallet_address,points
0xaD9eC77E0DAb84041CF13F5Ee13E2f14860Eaa44,2082
0x0385eBD136BfeB8e1943992c23211A5655D6393e,2066
0x06eA3b4fc6E7f8E8CEb712b641c49479963CCa46,2055
0x1aa30BFeCdec590A90d5B43CA9D717FCAE92c564,2053
0x356C6020435f559d17A38174e2cF0985e367BB4c,2013
0xAd4A42188299aB5ad2882E82c8b47BA8e9E1aDF8,2010
0xC8c2b917F7283494d7b339FA7E67288DfBba29ed,1990
0x0860c0e025ba87FeE6E6af283034E3Ab9C0Ef756,1943.5
0x6cfbA969A424baC0f18d1CA674f34B8B2907bb5f,1912
0x9d5765595a92c560c8759d2a9c375C66123765a5,1880
0x380cf1D8e32fADfE0dfF8B1d4d2d25A025064091,1844
0x6dcB8e2e8882ec8015B28deD2475a2a209789741,1843
0x24F297B69cB00Ff1B41c01d67f838AA9f82bE18C,1837
0xbD76073E9c17de64437Aa8342953A0A0b63C1Fc3,1836
0x9f1D96c76780deA72Fab2D7715e7a9d550732e1F,1835
0x59498C8432821252a6f95d53828bbbE3D195c20e,1831
0x721A3cEd51755403d8AE52bD0448e0D44941b193,1823
0xf6A7400cFb636874b5BD2138c49C2D57BcE80ED6,1823
0x542Ec0bd3Ca387FBF2E64A8f4f5B3215c7E91B1C,1820
0x91CbFe08c1c2e0D19350C242801c3dbCC309b383,1820
0x83809054f0Ee100597ACCb6b2351561002dD9A83,1815
0x276C8c4557F70756254F94E2e2423B14384EcEE6,1813
0xdb7CCe46427D2d0a63D455132E0f3E27D7d8f2D6,1813
0x60B7Ccb99D797B3ddE9f96Cf7C38e976f05d5a27,1809
0x00ec18A3436af2eB4a9450FA50D42A951d2ADf9c,1807
0xC1023B3993C8704D369B0e0F6603a8C065dAcf85,1801
0x8591109Bab973F447E431C857458C5ec3105218e,1798
0x669269741792e6074F1fc386db4B3d81Af032F42,1793
0x73107D5EcCcF6F698223e589D2FB3472041eB40A,1790
0x1c597564b82593b19142291940ea6aC43E2E3553,1781
0x1fDB6cE700D8645C6AF806446442cf7a09b69807,1781
0xb7CB44579cD62Ca78A1e9b1240a8C32f07A39cfB,1780
0x351e537068A7f6EFa887893c4fcD1A94e3da9b5D,1776
